Document No.,Cosine Similarity Score
0,[[0.9347583]]
1,[[0.9363021]]
2,[[0.9590255]]
3,[[0.9347682]]
4,[[0.936886]]
5,[[0.8953693]]
6,[[0.9120157]]
7,[[0.9219002]]
8,[[0.9329257]]
9,[[0.9482399]]
10,[[0.918986]]
11,[[0.9403145]]
12,[[0.93214476]]
13,[[0.9389043]]
14,[[0.8948837]]
15,[[0.9249768]]
16,[[0.93689376]]
17,[[0.9370329]]
18,[[0.94492686]]
19,[[0.92757237]]
20,[[0.9389822]]
21,[[0.88954234]]
22,[[0.8996153]]
23,[[0.94529223]]
24,[[0.90174556]]
25,[[0.94772017]]
26,[[0.9186731]]
27,[[0.9003588]]
28,[[0.9043105]]
29,[[0.9439626]]
30,[[0.9372575]]
31,[[0.8985113]]
32,[[0.8523729]]
33,[[0.9245968]]
34,[[0.93157715]]
35,[[0.9217947]]
36,[[0.93920475]]
37,[[0.9295788]]
38,[[0.9424681]]
39,[[0.9154077]]
40,[[0.94089365]]
41,[[0.9387555]]
42,[[0.933828]]
43,[[0.9204327]]
44,[[0.92318773]]
45,[[0.9349229]]
46,[[0.9286338]]
47,[[0.92033446]]
48,[[0.9249371]]
49,[[0.9209159]]
50,[[0.93685]]
51,[[0.92631507]]
52,[[0.93364155]]
53,[[0.90339655]]
54,[[0.9217671]]
55,[[0.91334474]]
56,[[0.9173006]]
57,[[0.9372207]]
58,[[0.92472047]]
59,[[0.93502176]]
60,[[0.9116835]]
61,[[0.8970503]]
62,[[0.9484786]]
63,[[0.92807686]]
64,[[0.9432149]]
65,[[0.9295065]]
66,[[0.93883085]]
67,[[0.94439805]]
68,[[0.8905405]]
69,[[0.9030191]]
70,[[0.9225078]]
71,[[0.9311665]]
72,[[0.9092195]]
73,[[0.90911335]]
74,[[0.92339516]]
75,[[0.9435568]]
76,[[0.93345106]]
77,[[0.9358995]]
78,[[0.9130028]]
79,[[0.91473705]]
80,[[0.86451614]]
81,[[0.9278996]]
82,[[0.9236735]]
83,[[0.92586476]]
84,[[0.9310522]]
85,[[0.92715734]]
86,[[0.9345747]]
87,[[0.90957993]]
88,[[0.9070364]]
89,[[0.94405204]]
90,[[0.9387104]]
91,[[0.9129482]]
92,[[0.93871176]]
93,[[0.93836987]]
94,[[0.903918]]
95,[[0.94245946]]
96,[[0.91994166]]
97,[[0.8705884]]
98,[[0.9417316]]
99,[[0.9417783]]
